Country	Reference Year	Population below $1.90 a day	Population below $3.20 a day	Population below $5.50 a day	ID
Lao PDR	2012	22.7	58.7	85	Q819
Latvia	2017	0.8	1.5	3.4	Q211
Lebanon	2011	0	0.1	1.9	Q822
Lesotho	2017	26.9	49.7	73.1	Q1013
Liberia	2016	40.9	72.6	92.2	Q1014
Lithuania	2017	1	1.5	3.8	Q37
Luxembourg	2017	0.3	0.4	0.7	Q32
North Macedonia	2017	4.4	8.6	18.2	Q221
Madagascar	2012	77.6	91	97.3	Q1019
Malawi	2016	70.3	89.4	96.7	Q1020
Malaysia	2015	0	0.2	2.7	Q833
Maldives	2016	0	0.5	6.6	Q826
Mali	2009	49.7	79.3	94.9	Q912
Malta	2017	0.2	0.2	0.3	Q233
Mauritania	2014	6	24.1	58.8	Q1025
Mauritius	2017	0.2	2.1	12.1	Q1027
Mexico	2018	1.7	6.6	23	Q96
Micronesia, Fed. Sts.	2013	15.4	38.7	69.1	Q702
Moldova	2018	0	0.9	13.3	Q217
Mongolia	2018	0.5	5.6	28.9	Q711
Montenegro	2015	1.7	8.2	19.9	Q236
Morocco	2013	1	7.7	31.3	Q1028
Mozambique	2014	62.9	81.9	92	Q1029
Myanmar	2017	2	19.3	60.8	Q836
Namibia	2015	13.4	29.6	50.1	Q1030
Nepal	2010	15	50.9	83	Q837
Netherlands	2017	0.2	0.3	0.4	Q55
Nicaragua	2014	3.2	12.8	34.8	Q811
Niger	2014	44.5	76.9	93.4	Q1032
Nigeria	2009	53.5	77.6	92.1	Q1033
Norway	2017	0.2	0.3	0.5	Q20
Pakistan	2015	3.9	34.7	75.4	Q843
Panama	2018	1.7	5.2	12.7	Q804
Papua New Guinea	2009	38	65.6	86.9	Q691
Paraguay	2018	1.6	5.9	17	Q733
Peru	2018	2.6	8.3	22.1	Q419
Philippines	2015	6.1	26	55.1	Q928
Poland	2017	0.3	0.6	1.4	Q36
Portugal	2017	0.4	0.7	1.9	Q45
Romania	2017	3.5	7	15.6	Q218
Russian Federation	2018	0	0.2	2.3	Q159
Rwanda	2016	55.5	79.7	91.6	Q1037
Samoa	2013	1.1	9.6	33.9	Q683
Sao Tome and Principe	2017	34.5	63.8	85.5	Q1039
Senegal	2011	38	67.5	88.1	Q1041
Serbia	2017	5.5	9.8	20.3	Q403
Seychelles	2013	1.1	2.5	6.6	Q1042
Sierra Leone	2018	40.1	74.4	92.1	Q1044
Slovak Republic	2016	1.4	1.8	3.3	Q214
Slovenia	2017	0	0	0.1	Q215
Solomon Islands	2013	25.1	58.8	84.7	Q685
South Africa	2014	18.9	37.6	57.1	Q258
South Sudan	2009	42.7	64.8	84.8	Q958
Spain	2017	0.7	1.1	2.2	Q29
Sri Lanka	2016	0.8	10.1	40.4	Q854
St. Lucia	2016	4.7	10.6	20.3	Q760
Sudan	2014	12.7	45	79.9	Q1049
Suriname	1999	23.4	42.8	55.7	Q730
Eswatini	2016	28.4	51.8	71.4	Q1050
Sweden	2017	0.2	0.3	0.5	Q34
Switzerland	2017	0	0	0.1	Q39
Syrian Arab Republic	2004	1.7	15.3	50.4	Q858
Tajikistan	2015	4.8	20.3	54.2	Q863
Tanzania	2017	49.1	76.6	91.7	Q924
Thailand	2018	0	0.5	8.6	Q869
Timor-Leste	2014	30.7	73.3	94	Q574
Togo	2015	49.8	73.4	90.4	Q945
Tonga	2015	1	7.5	27.5	Q678
Trinidad and Tobago	1992	3.4	13.1	32.9	Q754
Tunisia	2015	0.2	3	17.5	Q948
Turkey	2018	0.1	1.4	9.2	Q43
Turkmenistan	1998	51.4	77.8	92.5	Q874
Tuvalu	2010	3.3	17.6	46.7	Q672
Uganda	2016	41.7	69.9	87.8	Q1036
Ukraine	2018	0	0.4	4	Q212
United Arab Emirates	2014	0	0	0	Q878
United Kingdom	2016	0.2	0.3	0.5	Q145
United States	2016	1.2	1.5	2	Q30
Uruguay	2018	0.1	0.4	2.9	Q77
Uzbekistan	2003	62.1	86.4	96.4	Q265
Vanuatu	2010	13.2	39.4	72.4	Q686
Venezuela, RB	2006	10.2	17.8	35.6	Q717
Vietnam	2018	1.9	7	23.6	Q881
West Bank and Gaza	2016	1	5	23.6	Q407199
Yemen, Rep.	2014	18.8	52.2	81.6	Q805
Zambia	2015	57.5	74.3	87.2	Q953
Zimbabwe	2017	33.9	61	81.3	Q954
