Country	Hectares (2000)	Hectares (2016)	ID
Germany	0.14	0.14	Q183
Ghana	0.2	0.17	Q117
Greece	0.25	0.2	Q41
Greenland	0.01	0.02	Q223
Grenada	0.01	0.03	Q769
Guam	0.01	0.01	Q16635
Guatemala	0.12	0.05	Q774
Guinea	0.26	0.26	Q1006
Guinea-Bissau	0.25	0.17	Q1007
Guyana	0.6	0.54	Q734
Haiti	0.11	0.1	Q790
Honduras	0.16	0.11	Q783
Hungary	0.45	0.44	Q28
Iceland	0.46	0.36	Q189
India	0.15	0.12	Q668
Indonesia	0.1	0.09	Q252
Iran, Islamic Rep.	0.23	0.18	Q794
Iraq	0.17	0.14	Q796
Ireland	0.28	0.09	Q27
Isle of Man	0.24	0.28	Q9676
Israel	0.05	0.03	Q801
Italy	0.15	0.11	Q38
Jamaica	0.05	0.04	Q766
Japan	0.04	0.03	Q17
Jordan	0.04	0.02	Q810
Kazakhstan	2.3	1.65	Q232
Kenya	0.15	0.12	Q114
Kiribati	0.02	0.02	Q710
Korea, Dem. Peopleâ€™s Rep.	0.1	0.09	Q423
Korea, Rep.	0.04	0.03	Q884
Kuwait	0	0	Q817
Kyrgyz Republic	0.28	0.21	Q813
Lao PDR	0.17	0.22	Q819
Latvia	0.41	0.66	Q211
Lebanon	0.03	0.02	Q822
Lesotho	0.16	0.17	Q1013
Liberia	0.14	0.11	Q1014
Libya	0.34	0.26	Q1016
Liechtenstein	0.12	0.06	Q347
Lithuania	0.82	0.75	Q37
Luxembourg	0.14	0.11	Q32
North Macedonia	0.27	0.2	Q221
Madagascar	0.18	0.14	Q1019
Malawi	0.25	0.22	Q1020
Malaysia	0.04	0.03	Q833
Maldives	0.01	0.01	Q826
Mali	0.41	0.36	Q912
Malta	0.02	0.02	Q233
Marshall Islands	0.02	0.03	Q709
Mauritania	0.19	0.11	Q1025
Mauritius	0.08	0.06	Q1027
Mexico	0.23	0.18	Q96
Micronesia, Fed. Sts.	0.02	0.02	Q702
Moldova	0.62	0.65	Q217
Mongolia	0.49	0.19	Q711
Morocco	0.3	0.23	Q1028
Mozambique	0.22	0.2	Q1029
Myanmar	0.21	0.21	Q836
Namibia	0.45	0.34	Q1030
Nepal	0.1	0.08	Q837
Netherlands	0.06	0.06	Q55
New Caledonia	0.03	0.02	Q33788
New Zealand	0.39	0.12	Q664
Nicaragua	0.38	0.24	Q811
Niger	1.23	0.81	Q1032
Nigeria	0.29	0.18	Q1033
Northern Mariana Islands	0.02	0.02	Q16644
Norway	0.2	0.15	Q20
Oman	0.01	0.01	Q842
Pakistan	0.22	0.15	Q843
Palau	0.05	0.06	Q695
Panama	0.18	0.14	Q804
Papua New Guinea	0.04	0.04	Q691
Paraguay	0.57	0.71	Q733
Peru	0.17	0.11	Q419
Philippines	0.06	0.05	Q928
Poland	0.37	0.28	Q36
Portugal	0.17	0.09	Q45
Puerto Rico	0.02	0.02	Q1183
Qatar	0.02	0.01	Q846
Romania	0.42	0.44	Q218
Russian Federation	0.85	0.85	Q159
Rwanda	0.11	0.1	Q1037
Samoa	0.08	0.04	Q683
San Marino	0.04	0.03	Q238
Sao Tome and Principe	0.04	0.04	Q1039
Saudi Arabia	0.17	0.11	Q851
Senegal	0.34	0.21	Q1041
Seychelles	0.01	0	Q1042
Sierra Leone	0.11	0.22	Q1044
Singapore	0	0	Q334
Slovak Republic	0.28	0.25	Q214
Slovenia	0.09	0.09	Q215
Solomon Islands	0.03	0.03	Q685
Somalia	0.12	0.08	Q1045
South Africa	0.31	0.22	Q258
Spain	0.33	0.27	Q29
Sri Lanka	0.05	0.06	Q854
St. Kitts and Nevis	0.16	0.1	Q763
St. Lucia	0.01	0.02	Q760
St. Vincent and the Grenadines	0.05	0.05	Q757
Suriname	0.12	0.12	Q730
Sweden	0.3	0.26	Q34
Switzerland	0.06	0.05	Q39
Syrian Arab Republic	0.28	0.27	Q858
Tajikistan	0.13	0.08	Q863
Tanzania	0.26	0.25	Q924
Thailand	0.25	0.24	Q869
Timor-Leste	0.14	0.13	Q574
Togo	0.51	0.35	Q945
Tonga	0.15	0.18	Q678
Trinidad and Tobago	0.03	0.02	Q754
Tunisia	0.3	0.26	Q948
Turkey	0.38	0.26	Q43
Turkmenistan	0.43	0.34	Q874
Turks and Caicos Islands	0.05	0.03	Q18221
Uganda	0.22	0.17	Q1036
Ukraine	0.66	0.73	Q212
United Arab Emirates	0.02	0	Q878
United Kingdom	0.1	0.09	Q145
United States	0.62	0.47	Q30
Uruguay	0.41	0.7	Q77
Uzbekistan	0.18	0.14	Q265
Vanuatu	0.11	0.07	Q686
Venezuela, RB	0.11	0.09	Q717
Vietnam	0.08	0.07	Q881
Virgin Islands (U.S.)	0.02	0.01	Q11703
West Bank and Gaza	0.03	0.01	Q407199
Yemen, Rep.	0.09	0.05	Q805
Zambia	0.27	0.23	Q953
Zimbabwe	0.3	0.29	Q954
