Country	Total (1990)	Total (2014)	Carbon intensity (1990)	Carbon intensity (2014)	per capita (1990)	per capita (2014)	Kg-GDP (1990)	Kg-GDP (2014)	ID
Iraq	49908	166628	2.5	3.4	2.9	4.8	0.4	0.5	Q796
Ireland	31217	34004	3.1	2.7	8.9	7.3	0.3	0.1	Q27
Israel	36296	62882	3.2	2.8	7.8	7.7	0.3	0.2	Q801
Italy	417550	320411	2.8	2.2	7.4	5.3	0.2	0.1	Q38
Jamaica	7532	7294	2.7	2.6	3.1	2.5	0.4	0.3	Q766
Japan	1092396	1206674	2.5	2.7	8.8	9.5	0.3	0.2	Q17
Jordan	10634	26571	3.2	3.2	3	3	0.4	0.3	Q810
Kazakhstan	262044	248395	3.3	3.2	15.9	14.4	1.4	0.6	Q232
Kenya	5823	14437	0.5	0.6	0.2	0.3	0.1	0.1	Q114
Korea, Rep.	246943	587156	2.7	2.2	5.8	11.6	0.5	0.3	Q884
Kuwait	37909	88371	4.2	2.6	18.1	23.9	0.4	0.4	Q817
Kyrgyz Republic	11133	10290	2.2	2.7	2.5	1.8	0.6	0.4	Q813
Lebanon	8214	24070	4.2	3.2	2.9	3.8	0.4	0.2	Q822
Luxembourg	10004	9663	3	2.5	26.2	17.4	0.4	0.2	Q32
North Macedonia	11038	7539	4.1	2.9	5.6	3.6	0.6	0.3	Q221
Malaysia	56593	242671	2.6	2.7	3.1	8.1	0.3	0.3	Q833
Malta	2248	2347	3.2	3	6.3	5.4	0.4	0.2	Q233
Mauritius	1463	4210	2.2	3	1.4	3.3	0.2	0.2	Q1027
Mexico	318428	481499	2.6	2.6	3.8	4	0.3	0.2	Q96
Mongolia	9989	29633	2.9	5.5	4.6	10.1	0.9	0.9	Q711
Morocco	23080	59882	3	3.2	0.9	1.8	0.2	0.2	Q1028
Mozambique	1023	8434	0.2	0.7	0.1	0.3	0.2	0.3	Q1029
Myanmar	4276	16347	0.4	0.8	0.1	0.3	0.2	0.1	Q836
Namibia	40	3740	1.5	2.1	0	1.6	0	0.2	Q1030
Nepal	777	8031	0.1	0.7	0	0.3	0	0.1	Q837
Netherlands	163336	168884	2.5	2.3	10.9	10	0.3	0.2	Q55
New Zealand	23546	34657	1.8	1.7	7.1	7.7	0.3	0.2	Q664
Nicaragua	2549	4679	1.3	1.3	0.6	0.8	0.2	0.1	Q811
Nigeria	39197	130131	0.6	1	0.4	0.7	0.1	0.1	Q1033
Norway	31511	47924	1.5	1.7	7.4	9.3	0.2	0.2	Q20
Oman	11313	61221	2.7	2.5	6.2	15.2	0.2	0.5	Q842
Pakistan	68566	182415	1.6	2	0.6	0.9	0.2	0.2	Q843
Panama	2769	11107	1.9	2.6	1.1	2.8	0.1	0.1	Q804
Paraguay	2156	5702	0.7	1.1	0.5	0.9	0.1	0.1	Q733
Peru	21071	51331	2.2	2.2	1	1.7	0.2	0.1	Q419
Philippines	41763	104517	1.5	2.2	0.7	1	0.2	0.1	Q928
Poland	368423	285938	3.6	3	9.7	7.5	0.9	0.3	Q36
Portugal	42321	44657	2.5	2.1	4.2	4.3	0.2	0.1	Q45
Romania	174087	69490	2.8	2.2	7.5	3.5	0.6	0.2	Q218
Russian Federation	3610209	1736985	4.1	2.4	24.4	12.1	1.1	0.5	Q159
Saudi Arabia	185803	601047	3.2	2.8	11.4	19.4	0.3	0.4	Q851
Senegal	3183	9377	1.9	2.4	0.4	0.7	0.2	0.2	Q1041
Singapore	44495	56644	3.9	2	14.6	10.4	0.4	0.1	Q334
Slovak Republic	44184	30678	2.4	1.9	8.3	5.7	0.7	0.2	Q214
Slovenia	12479	12482	2.4	1.9	6.3	6.1	0.3	0.2	Q215
South Africa	313305	484495	3.4	3.3	8.5	8.9	0.8	0.7	Q258
Spain	218597	233977	2.4	2	5.6	5	0.2	0.1	Q29
Sri Lanka	3869	17924	0.7	1.7	0.2	0.9	0.1	0.1	Q854
Sudan	5222	15838	0.5	1.1	0.2	0.3	0.1	0.1	Q1049
Sweden	51947	43483	1.1	0.9	6.1	4.5	0.2	0.1	Q34
Switzerland	42611	35680	1.7	1.4	6.3	4.4	0.1	0.1	Q39
Tajikistan	7316	4620	1.8	1.6	1.3	0.6	0.5	0.2	Q863
Tanzania	2160	11562	0.2	0.5	0.1	0.2	0.1	0.1	Q924
Thailand	90722	280977	2.2	2.1	1.6	4.1	0.2	0.3	Q869
Togo	774	2589	0.6	0.8	0.2	0.4	0.2	0.3	Q945
Trinidad and Tobago	17026	46267	2.8	2.4	13.9	34	1.4	1.2	Q754
Tunisia	13227	28830	2.7	2.7	1.6	2.6	0.3	0.2	Q948
Turkey	145994	345908	2.8	2.8	2.7	4.5	0.2	0.2	Q43
Turkmenistan	32123	68426	3.1	2.6	8.2	12.5	1.5	1	Q874
Ukraine	630929	228469	2.9	2.2	12.1	5	0.9	0.4	Q212
United Arab Emirates	52009	226144	2.5	3.2	28.4	24.5	0.3	0.4	Q878
United Kingdom	555925	419743	2.7	2.3	9.7	6.5	0.3	0.1	Q145
United States	4823403	5225413	2.5	2.4	19.3	16.4	0.5	0.3	Q30
Uruguay	3993	6747	1.8	1.4	1.3	2	0.1	0.1	Q77
Uzbekistan	111649	105214	2.5	2.4	5.2	3.4	1.8	0.6	Q265
Vietnam	21445	167336	1.2	2.5	0.3	1.8	0.2	0.3	Q881
Zambia	2446	4503	0.4	0.4	0.3	0.3	0.1	0.1	Q953
Zimbabwe	15643	12116	1.7	1	1.5	0.9	0.5	0.3	Q954
