Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Lebanon	12.1	4.2	Q822
Lesotho	22.4	10.7	Q1013
Liberia	28.4	3	Q1014
Libya	-0.6	-0.1	Q1016
Madagascar	11.8	7	Q1019
Malawi	33.1	15.2	Q1020
Malaysia	7.3	2.7	Q833
Maldives	14.6	9.6	Q826
Mali	16.3	9	Q912
Mauritania	11.1	9.9	Q1025
Mauritius	6.9	8.5	Q1027
Mexico	12.8	6.8	Q96
Micronesia, Fed. Sts.	-0.1	2.3	Q702
Moldova	13.6	8.1	Q217
Mongolia	62.5	7	Q711
Montenegro	3.2	2.6	Q236
Morocco	4.2	3.8	Q1028
Mozambique	24.6	12.2	Q1029
Myanmar	42.5	15.5	Q836
Namibia	10.5	10.5	Q1030
Nepal	9.6	13.8	Q837
New Zealand	8.4	4.7	Q664
Nicaragua	21.7	6.2	Q811
Niger	22.6	15.1	Q1032
Nigeria	6.7	6.2	Q1033
North Macedonia	11.6	8.2	Q221
Norway	6.5	4	Q20
Oman	11.3	4.2	Q842
Pakistan	14.6	11.7	Q843
Papua New Guinea	10.2	4.4	Q691
Paraguay	19	8.9	Q733
Peru	21.1	5.4	Q419
Philippines	10.9	9	Q928
Poland	8.8	8.3	Q36
Qatar	23.1	2.5	Q846
Romania	6.8	10.9	Q218
Russian Federation	24.5	5.1	Q159
Rwanda	20.2	9	Q1037
Samoa	6.4	4.6	Q683
Sao Tome and Principe	21.2	-2.1	Q1039
Saudi Arabia	5.2	0.2	Q851
Senegal	11.4	8.2	Q1041
Serbia	12.9	8.4	Q403
Seychelles	13.7	13.9	Q1042
Sierra Leone	24.2	14.3	Q1044
Singapore	8.6	5	Q334
Solomon Islands	13.3	6.8	Q685
South Africa	6.9	6.1	Q258
South Sudan	34.4	26.8	Q958
Sri Lanka	15.8	11.4	Q854
St. Kitts and Nevis	6.4	3.1	Q763
St. Lucia	1.8	2	Q760
St. Vincent and the Grenadines	2.7	9.6	Q757
Sudan	26.3	60.1	Q1049
Suriname	10.7	9.1	Q730
Sweden	3.5	7.1	Q34
Switzerland	5.5	3.3	Q39
Tajikistan	18.6	16.9	Q863
Tanzania	25.4	4.5	Q924
Thailand	10.9	3.6	Q869
Timor-Leste	9.9	-7.1	Q574
Togo	14.7	4.5	Q945
Tonga	6.3	-0.5	Q678
Trinidad and Tobago	1	2.9	Q754
Tunisia	11.8	9.2	Q948
Turkey	18.5	27.5	Q43
Uganda	38.1	15.9	Q1036
Ukraine	22.7	12.6	Q212
United Arab Emirates	6.3	8	Q878
United Kingdom	4	-1.3	Q145
United States	-2.8	8.4	Q30
Uruguay	22.1	15.9	Q77
Vanuatu	-6	6.9	Q686
Vietnam	29.7	13.6	Q881
West Bank and Gaza	9.6	3.8	Q407199
Zambia	29.9	12.5	Q953
Zimbabwe	61.1	249.8	Q954
