Country	Reference Year	Lowest 10%	Lowest 20%	Second 20%	Third 20%	Fourth 20%	Highest 20%	Highest 10%	ID
Chile	2017	2.3	5.8	9.7	13.6	19.7	51.3	36.3	Q298
China	2016	2.7	6.5	10.7	15.3	22.2	45.3	29.3	Q148
Colombia	2018	1.4	4	8.1	12.6	19.9	55.4	39.7	Q739
Comoros	2014	1.6	4.5	9.1	13.9	22.2	50.4	33.7	Q970
Congo, Dem. Rep.	2012	2.1	5.5	10	14.5	21.6	48.4	32	Q974
Congo, Rep.	2011	1.6	4.2	8.2	13.2	20.7	53.7	37.9	Q971
Costa Rica	2018	1.5	4.3	8.5	13	20.9	53.3	36.3	Q800
Cote d'Ivoire	2015	2.1	5.7	10.2	14.6	21.6	47.8	31.9	Q1008
Croatia	2017	2.7	7.4	13.3	18	23.3	37.9	22.9	Q224
Cyprus	2017	3.4	8.4	12.9	16.7	21.9	40.2	25.5	Q229
Czech Republic	2017	4.2	10.2	14.7	17.7	22	35.4	21.5	Q213
Denmark	2017	3.7	9.1	13.7	17.2	21.9	38.1	24	Q35
Djibouti	2017	1.9	5.4	10.4	15.1	21.5	47.6	32.3	Q977
Dominican Republic	2018	2.3	5.8	9.8	13.9	20.4	50.1	35.2	Q786
Ecuador	2018	1.6	4.6	9.2	14	21.2	51	34.4	Q736
Egypt, Arab Rep.	2017	3.8	9	12.8	16.2	21	41	26.9	Q79
El Salvador	2018	2.4	6.2	10.9	15.5	22.1	45.3	29.4	Q792
Estonia	2017	3	8.1	12.8	17	23.7	38.4	22.5	Q191
Ethiopia	2015	2.9	7.3	12.1	16.3	21.2	43	28.5	Q115
Fiji	2013	3.1	7.5	11.3	15.2	21.3	44.7	29.7	Q712
Finland	2017	3.8	9.4	14	17.4	22.3	36.9	22.6	Q33
France	2017	3.2	8.1	13	16.9	21.9	40	25.8	Q142
Gabon	2017	2.2	6	10.8	15.7	23	44.4	27.7	Q1000
Gambia, The	2015	3	7.4	11.6	15.7	21.8	43.6	28.7	Q1005
Georgia	2018	2.4	6.5	11.5	16.2	22.6	43.2	27.5	Q230
Germany	2016	2.9	7.6	12.8	17.1	22.8	39.6	24.6	Q183
Ghana	2016	1.6	4.7	9.6	14.8	22.3	48.6	32.2	Q117
Greece	2017	2.4	6.6	12.3	17.1	23	41.1	25.9	Q41
Guatemala	2014	1.7	4.5	8.6	13.2	20.1	53.6	38.1	Q774
Guinea	2012	3	7.6	12.2	16.4	22.4	41.5	26.4	Q1006
Guinea-Bissau	2010	1.6	4.5	8.3	12.2	18.3	56.7	42	Q1007
Guyana	1998	1.5	4.5	9.7	14.7	21.5	49.6	34.1	Q734
Haiti	2012	2.1	5.5	10.3	15.2	21.9	47.1	31.2	Q790
Honduras	2018	0.9	3	7.4	12.7	20.8	56.1	39.1	Q783
Hungary	2017	3	7.9	13.2	17.6	22.8	38.5	23.9	Q28
Iceland	2015	3.9	9.5	14.2	17.7	22.2	36.5	22.5	Q189
India	2011	3.3	7.7	11.1	14.7	20.3	46.2	31.7	Q668
Indonesia	2018	2.8	6.7	10.5	14.9	21.7	46.1	30.4	Q252
Iran, Islamic Rep.	2017	2.3	5.9	10.3	14.8	21.7	47.3	31.3	Q794
Iraq	2012	3.7	8.8	13.1	17.1	22.5	38.5	23.7	Q796
Ireland	2016	3.1	7.9	12.6	16.3	22	41.2	25.9	Q27
Israel	2016	1.9	5.1	10.6	16.4	23.6	44.2	27.7	Q801
Italy	2017	1.9	6	12	16.9	23	42.1	26.7	Q38
Jamaica	2004	2.1	5.3	9.2	13.2	20.6	51.6	35.8	Q766
Japan	2013	2.9	7.7	12.8	16.6	21.7	41.1	26.4	Q17
Jordan	2010	3.5	8.2	12.1	15.8	21.5	42.4	27.5	Q810
Kazakhstan	2017	4.3	9.8	13.6	17.1	22.1	37.4	23	Q232
Kenya	2015	2.4	6.2	10.3	14.6	21.5	47.5	31.6	Q114
Kiribati	2006	2.6	6.6	11.6	16	21.9	43.9	29.3	Q710
Korea, Rep.	2012	2.6	7.3	13	17.5	23.2	39	23.8	Q884
Kosovo	2017	3.8	9.2	13.6	17	21.6	38.6	24.6	Q1246
Kyrgyz Republic	2018	4.3	9.9	13.5	17	21.8	37.8	23.6	Q813
Lao PDR	2012	3.2	7.6	11.5	15.3	21	44.6	29.8	Q819
Latvia	2017	2.3	6.7	11.7	16.4	22.8	42.4	26.9	Q211
Lebanon	2011	3.1	7.9	12.7	17	22.5	40	24.8	Q822
Lesotho	2017	1.7	4.6	8.9	14.2	22.6	49.8	32.9	Q1013
Liberia	2016	2.9	7.2	11.6	16	22.3	42.8	27.1	Q1014
Lithuania	2017	2.1	6.3	11.6	15.9	22.3	43.9	28.4	Q37
Luxembourg	2017	2.4	6.5	11.9	16.8	23.3	41.4	25.8	Q32
North Macedonia	2017	1.7	5.6	12.3	17.9	24.4	39.7	23.8	Q221
Madagascar	2012	2.2	5.7	10	14.1	20.7	49.4	33.5	Q1019
Malawi	2016	2.6	6.4	9.8	13.3	18.8	51.7	38.1	Q1020
Malaysia	2015	2.3	5.8	10.1	14.8	22	47.3	31.3	Q833
Maldives	2016	3.4	8.3	12.9	16.9	22.2	39.8	25.2	Q826
Mali	2009	3.3	8	12.1	16.2	22.5	41.3	25.7	Q912
Malta	2017	3.4	8.5	13.4	17.6	22.5	38	23.3	Q233
Mauritania	2014	3	7.5	12.4	16.9	23	40.2	24.9	Q1025
Mauritius	2017	2.9	7.2	11.6	15.5	21.1	44.6	29.9	Q1027
Mexico	2018	2	5.4	9.5	13.5	20	51.7	36.4	Q96
Micronesia, Fed. Sts.	2013	1.9	5.5	10.7	15.3	22.5	46	29.7	Q702
Moldova	2018	4.4	10.2	14.2	17.5	22.1	36	22	Q217
Mongolia	2018	3.3	7.9	12.3	16.5	22.5	40.9	25.7	Q711
Montenegro	2015	1.8	5.2	10.7	16.3	23.5	44.3	27.7	Q236
Morocco	2013	2.7	6.7	10.7	14.7	20.9	47	31.9	Q1028
Mozambique	2014	1.6	4.2	7.6	11.2	17.4	59.5	45.5	Q1029
Myanmar	2017	3.8	8.9	13	16.6	21.6	39.9	25.5	Q836
Namibia	2015	1	2.8	5.8	9.8	17.9	63.7	47.3	Q1030
Nepal	2010	3.5	8.3	12.1	16.2	21.8	41.5	26.4	Q837
Netherlands	2017	3.5	8.8	13.8	17.5	22.3	37.6	23.3	Q55
Nicaragua	2014	2	5.1	9.2	13.7	20	52.1	37.2	Q811
Niger	2014	3.2	7.8	11.8	16	22	42.4	27	Q1032
Nigeria	2009	2	5.4	9.7	14.4	21.6	49	32.7	Q1033
Norway	2017	3.3	8.9	14.3	18	22.8	36	21.6	Q20
Pakistan	2015	3.9	8.9	12.2	15.6	20.5	42.8	28.9	Q843
Panama	2018	1.2	3.6	8.3	13.4	21.2	53.6	37.1	Q804
Papua New Guinea	2009	1.9	5.1	10	15.2	22.4	47.3	31	Q691
Paraguay	2018	1.7	4.7	9.2	13.6	20.9	51.7	35.9	Q733
Peru	2018	1.8	4.9	9.9	14.8	22	48.3	32.1	Q419
Philippines	2015	2.3	5.7	9.3	13.5	20.7	50.9	34.8	Q928
Poland	2017	3.2	8.3	13.4	17.5	22.6	38.2	23.5	Q36
Portugal	2017	2.7	7.4	12.4	16.5	22.1	41.6	26.7	Q45
Romania	2017	1.6	5.3	11.7	17.4	24.7	41	24.9	Q218
Russian Federation	2018	2.9	7.1	11.2	15.2	21.4	45.1	29.9	Q159
Rwanda	2016	2.4	6	9.8	13.6	19.8	50.8	35.6	Q1037
Samoa	2013	2.7	6.8	11.1	14.9	20.8	46.4	31.3	Q683
Sao Tome and Principe	2017	1.3	3.9	7.6	11.1	16.1	61.2	49.2	Q1039
Senegal	2011	2.3	6.1	10.3	15	21.7	46.9	31	Q1041
Serbia	2017	1.4	5.2	12.1	17.4	23.8	41.5	25.6	Q403
Seychelles	2013	1.9	5.4	9.8	13.3	18.4	53	39.9	Q1042
Sierra Leone	2018	3.4	7.9	11.7	15.3	21	44.2	29.4	Q1044
Slovak Republic	2016	2.9	8.7	15.1	19	23.2	34	19.9	Q214
Slovenia	2017	4.1	10	14.8	18.3	22.5	34.4	20.4	Q215
Solomon Islands	2013	2.8	7	11.4	15.5	21.5	44.6	29.2	Q685
South Africa	2014	0.9	2.4	4.8	8.2	16.5	68.2	50.5	Q258
South Sudan	2009	1.3	3.9	8.6	14.2	22.8	50.6	33.2	Q958
Spain	2017	2.1	6.2	12.2	17.2	23.4	41	25.4	Q29
Sri Lanka	2016	2.9	7	10.7	14.5	20.3	47.6	32.9	Q854
St. Lucia	2016	0.9	3.1	7.9	13	20.6	55.4	38.6	Q760
Sudan	2014	3.2	7.8	12.1	16.1	21.6	42.4	27.8	Q1049
Eswatini	2016	1.4	3.7	6.8	10.7	18.6	60.2	42.7	Q1050
Sweden	2017	3	8.3	13.9	17.6	23.1	37.1	22.3	Q34
Switzerland	2017	3.1	7.7	12.5	16.7	22.4	40.6	25.5	Q39
Syrian Arab Republic	2004	3.2	7.6	11.6	15.4	21.4	44	28.7	Q858
Tajikistan	2015	3	7.4	12	16.4	22.4	41.7	26.4	Q863
Tanzania	2017	2.9	6.9	10.5	14.2	20.4	48.1	33.1	Q924
Thailand	2018	3	7.2	11.1	15.5	22.2	44	28.1	Q869
Timor-Leste	2014	4	9.4	13.4	16.9	21.8	38.4	24	Q574
Togo	2015	1.9	5	9.5	14.4	22.4	48.6	31.6	Q945
Tonga	2015	2.8	6.8	11.4	15.2	21.2	45.4	29.7	Q678
Tunisia	2015	3.2	7.8	12.3	16.5	22.5	40.9	25.6	Q948
Turkey	2018	2.2	5.8	10.1	14.5	21.1	48.5	32.6	Q43
Turkmenistan	1998	2.6	6.1	10.1	14.7	21.5	47.5	31.7	Q874
Tuvalu	2010	2.7	6.6	10.8	15	21.3	46.4	30.7	Q672
Uganda	2016	2.5	6.1	9.8	13.8	20.4	49.8	34.2	Q1036
Ukraine	2018	4.2	9.9	14.1	17.8	22.3	36.1	22	Q212
United Arab Emirates	2014	2.3	6.2	12	18	25.5	38.2	21.4	Q878
United Kingdom	2016	2.8	7.1	11.9	16.4	22.5	42.1	26.8	Q145
United States	2016	1.7	5.1	10.3	15.3	22.6	46.8	30.5	Q30
Uruguay	2018	2.3	5.9	10.4	15.3	22.5	45.9	29.7	Q77
Uzbekistan	2003	2.9	7.4	12	15.8	21.4	43.4	28.3	Q265
Vanuatu	2010	2.7	6.7	11.1	15.5	21.8	44.8	29.4	Q686
Venezuela, RB	2006	0.5	3.2	9.2	14.5	22.3	50.7	34.1	Q717
Vietnam	2018	2.5	6.7	11.9	16.3	22.3	42.9	27.5	Q881
West Bank and Gaza	2016	2.9	7.3	11.9	16.6	23.2	41.1	25.2	Q407199
Yemen, Rep.	2014	3	7.3	11.5	15.3	21.2	44.7	29.4	Q805
Zambia	2015	1	2.9	6	10.6	19.3	61.3	44.4	Q953
Zimbabwe	2017	2.5	6	9.1	13.2	20.6	51.1	34.8	Q954
