Country	Reference Year	Crude rate Marriage	Crude rate Divorce	Actual Ratio	Percent Ratio	ID
Japan	2019	4.8	1.7	2.82	35.42	Q17
Jordan	2010	10.2	2.6	3.92	25.49	Q810
Kazakhstan	2008	8.6	2.3	3.74	26.74	Q232
Kuwait	2010	5.2	2.2	2.36	42.31	Q817
Kyrgyzstan	2010	9.7	1.6	6.06	16.49	Q813
Latvia	2016	6.6	3.1	2.13	46.97	Q211
Lebanon	2007	9.5	1.6	5.94	16.84	Q822
Libya	2008	10.8	2.5	4.32	23.15	Q1016
Liechtenstein	2010	5.0	2.4	2.08	48.0	Q347
Lithuania	2016	7.4	3.1	2.39	41.89	Q37
Luxembourg	2016	3.2	2.1	1.52	65.63	Q32
Malta	2016	6.7	0.8	8.38	11.94	Q233
Mauritius	2010	8.2	1.4	5.86	17.07	Q1027
Mexico	2009	5.2	0.9	5.78	17.31	Q96
Moldova	2011	7.3	3.1	2.35	42.47	Q217
Mongolia	2010	3.4	1.1	3.09	32.35	Q711
Montenegro	2016	5.1	1.1	4.64	21.57	Q236
Netherlands	2016	3.8	2.0	1.9	52.63	Q55
New Zealand	2008	4.8	2.0	2.4	41.67	Q664
Nicaragua	2005	4.5	0.8	5.63	17.78	Q811
North Macedonia	2016	6.4	1.0	6.4	15.63	Q221
Norway	2016	4.5	1.9	2.37	42.22	Q20
Panama	2010	3.7	1.0	3.7	27.03	Q804
Poland	2016	5.1	1.7	3.0	33.33	Q36
Portugal	2016	3.1	2.2	1.41	70.97	Q45
Qatar	2011	3.3	1.1	3.0	33.33	Q846
Romania	2016	6.8	1.5	4.53	22.06	Q218
Russia	2011	9.2	4.8	1.92	52.17	Q159
Saint Lucia	2004	2.8	0.7	4.0	25.0	Q760
Saint Vincent and the Grenadines	2007	5.8	0.8	7.25	13.79	Q757
San Marino	2011	6.1	2.5	2.44	40.98	Q238
Saudi Arabia	2005	5.2	1.1	4.73	21.15	Q851
Serbia	2016	5.1	1.3	3.92	25.49	Q403
Seychelles	2011	17.4	1.9	9.16	10.92	Q1042
Singapore	2015	6.8	1.9	3.58	27.94	Q334
Slovakia	2016	5.5	1.7	3.24	30.91	Q214
Slovenia	2016	3.2	1.2	2.67	37.5	Q215
South Africa	2009	3.5	0.6	5.83	17.14	Q258
South Korea	2019	4.7	2.2	2.14	46.81	Q884
Spain	2016	3.7	2.1	1.76	56.76	Q29
Suriname	2007	4.2	1.3	3.23	30.95	Q730
Sweden	2016	5.4	2.4	2.25	44.44	Q34
Switzerland	2016	5.0	2.0	2.5	40.0	Q39
Syria	2006	10.6	1.3	8.15	12.26	Q858
Taiwan	2018	5.7	2.3	2.48	40.35	Q865
Tajikistan	2009	13.5	1.4	9.64	10.37	Q863
Thailand	2005	5.5	1.4	3.93	25.45	Q869
Tonga	2003	7.1	1.2	5.92	16.9	Q678
Trinidad and Tobago	2005	6.3	2.2	2.86	34.92	Q754
Turkey	2016	7.5	1.6	4.69	21.33	Q43
Ukraine	2010	6.7	2.8	2.39	41.79	Q212
United Arab Emirates	2005	2.8	0.7	4.0	25.0	Q878
United Kingdom	2015	4.4	1.8	2.44	40.91	Q145
United States	2017	6.5	2.9	2.24	44.62	Q30
Uzbekistan	2006	7.8	1.1	7.09	14.1	Q265
Venezuela	2006	3.3	1.2	2.75	36.36	Q717
Vietnam	2015	5.7	0.4	14.25	7.02	Q881
