Country	Rents %	ID
Paraguay	1.7	Q733
Peru	7.3	Q419
Philippines	1.2	Q928
Poland	0.8	Q36
Portugal	0.3	Q45
Puerto Rico	0	Q1183
Qatar	15.4	Q846
Romania	0.7	Q218
Russian Federation	8.8	Q159
Rwanda	6.3	Q1037
Samoa	0.5	Q683
San Marino	0	Q238
Sao Tome and Principe	3.2	Q1039
Saudi Arabia	20	Q851
Senegal	4.5	Q1041
Serbia	1.2	Q403
Seychelles	0.1	Q1042
Sierra Leone	12.4	Q1044
Singapore	0	Q334
Slovak Republic	0.3	Q214
Slovenia	0.3	Q215
Solomon Islands	18.7	Q685
Somalia	15.4	Q1045
South Africa	5.1	Q258
South Sudan	42.4	Q958
Spain	0.1	Q29
Sri Lanka	0.1	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	4.7	Q1049
Suriname	30.2	Q730
Sweden	0.4	Q34
Switzerland	0	Q39
Tajikistan	4.3	Q863
Tanzania	6.8	Q924
Thailand	1.6	Q869
Timor-Leste	33.3	Q574
Togo	18.5	Q945
Tonga	0	Q678
Trinidad and Tobago	5	Q754
Tunisia	2.3	Q948
Turkey	0.3	Q43
Turkmenistan	12	Q874
Tuvalu	0	Q672
Uganda	14.6	Q1036
Ukraine	3.6	Q212
United Arab Emirates	11.3	Q878
United Kingdom	0.3	Q145
United States	0.3	Q30
Uruguay	1.8	Q77
Uzbekistan	8.8	Q265
Vanuatu	0.8	Q686
Venezuela, RB	11.8	Q717
Vietnam	2.6	Q881
Virgin Islands (U.S.)	0	Q11703
West Bank and Gaza	0	Q407199
Yemen, Rep.	0.6	Q805
Zambia	15.3	Q953
Zimbabwe	6.7	Q954
